Feature,Value
침체_1,0.0006470859330744427
major_문,0.0006371882717008963
인원_0,0.0006336785239379465
서비스_1,0.0006312246979505785
bq1_20,0.0006268539485494386
기능사_1,0.0006001330335659227
bq1_12,0.000596954410447857
훈련_1,0.0005946233533945809
온라인_1,0.0005888914492016194
분석_1,0.0005824601439467897
bq1_5,0.000581280379846167
인공_0,0.0005760854312174446
지능_0,0.000565369176793111
인터넷_1,0.0005568705494213759
정비_1,0.0005361257867646695
정보처리기사_1,0.0005085680371362801
major_의학,0.0005045913814465212
major_행정학,0.0004987589427535274
생산_1,0.0004974477868425508
신규_0,0.00048757198526916537
자동차_1,0.00048740889538357533
토목기사_0,0.0004824748033354218
bef_job_사무직,0.00047940177149788686
작업_0,0.00047595593770505284
건설_1,0.0004694322681828696
설비_1,0.00045480132184897804
major_이,0.00045428297782707736
major_기계과,0.0004516588067033202
제품_0,0.00045165376053077534
major_전기과,0.00044121641107896115
major_컴퓨터공학,0.00042955048586058105
안전_0,0.0004229224806823226
사업_0,0.0004066994172779939
스트레스_1,0.00040174744368824396
major_전기공학,0.0003985361545969286
학생_1,0.000392464829899941
major_기계공학,0.00039224599011322437
major_한약학,0.0003900992346968791
무량_1,0.0003840317819808306
major_경제학,0.0003803507827688611
major_법학,0.00037410326774970195
시장_0,0.0003650645819189134
major_간호학,0.0003643405439295662
의사면허증_0,0.0003627831326684536
연구_1,0.00035986762027674266
판매_1,0.00035770423837621176
부족_1,0.0003576494041608735
운전면허증_0,0.0003538649075417118
major_화학,0.00035340654576549157
major_인문계과,0.00035261520224943717
사회복지사_0,0.00035092548458354856
업체_0,0.0003467799047978526
bef_job_주부,0.0003461115262991792
전기_1,0.0003429640712681681
전문의_0,0.000342312270148503
산업기사_0,0.0003398466545498671
major_물리학,0.00033945014568743665
major_법학과,0.00033926626917285167
major_토목공학,0.0003366206863046507
디자인_0,0.0003313816493771731
기계로_1,0.00032758383839255823
면허증_1,0.000324590060568539
major_물리치료,0.000321151366959033
major_전기,0.00031554250133364315
처리_0,0.00031446684853112216
bef_job_회사원,0.00031370310402410197
정보_1,0.00031218248170379164
관리자_0,0.00031166498428220133
향상_1,0.0003109492490974202
교체_0,0.00031073800285724647
고령화_0,0.000310475636324525
불황_0,0.00031016727623769117
major_기계공학과,0.0003099473342523265
통신_0,0.0003093043042369926
major_전자공학,0.00030837299244150404
major_약학,0.0003068362152654904
지속_1,0.00030495804132886506
방법_0,0.0003033561085731259
방송_0,0.0003030206430538947
구조조정_0,0.0003017672693198507
실무교육_0,0.0003006724687977148
미디어_1,0.00030062305269985313
기사_1,0.00029914653890135965
고객_0,0.00029252095444956745
major_화학공학,0.0002907777601431682
major_유아교육,0.0002899139518055589
major_경영학과,0.000289295319849754
제조업_0,0.00028780398213051553
기업_0,0.0002877993975131909
마케팅_1,0.00027764119014237046
major_공고,0.00027165552134404556
able_job_없다,0.00027082743520204336
major_인문,0.00027006952373781506
지식_0,0.0002696974053438197
수가_0,0.0002668029484122287
major_사진학과,0.0002666272322023453
전문_1,0.00026531018455966144
major_건축학,0.00026467560495568583
major_이과,0.00025919826932941807
major_건축공학,0.00025797563256229564
치료_0,0.00025790356906020263
문화_0,0.00025580482829304797
major_심리학,0.0002553665145128069
로봇_0,0.0002528140412833294
major_식품영양학,0.0002518998397476527
감축_1,0.0002502468663677077
축소_0,0.0002500355750637744
bef_job_자영업,0.0002495668707618837
시설_1,0.00024720523304606185
major_특수교육학,0.000246493210672239
able_job_변호사,0.00024588562794329816
적용_0,0.0002454180696217524
able_job_마술지도사,0.00024379108572007382
major_안경광학,0.0002437131908332905
major_수의학,0.00024354818207557598
요구_1,0.00023933183039823936
자동_1,0.00023723266522688688
의사_1,0.0002327760088088732
현장_0,0.0002326942027307682
환자_0,0.00023198385840117187
bef_job_학생,0.0002289339890210691
제작_0,0.0002283948190910501
직종_0,0.00022651716870867222
회사_0,0.00022575801247143844
직무교육_0,0.00022564377346723333
major_전자,0.00022545699502725484
경제_0,0.00022424024018869506
편집_0,0.00022278857098046158
major_실업계,0.0002216359497331682
major_한의학,0.00021793774659571098
major_의학과,0.00021516074738938984
항공기_1,0.0002114167307519055
bef_job_없다,0.00020940358722461004
major_환경공학,0.00020876207149729995
major_조경학,0.0002070969955860451
개인_0,0.00020595691228991107
필요성_1,0.0002049993449852117
major_사회복지학,0.0002040932402001361
화로_0,0.00020404941280707112
효율_0,0.00020128628116623326
파악_1,0.00019981589369300122
bef_job_항해사,0.00019847126025367346
데이터_1,0.00019842538413955877
기기_0,0.00019709050025413068
영향_0,0.00019659707493931754
작성_0,0.0001965966384909199
설계_0,0.0001962989717697544
새로운_1,0.00019466686368201387
수입_0,0.00019409738864877853
운영_0,0.00019307739536460154
건축_0,0.00019296997222983196
major_토목,0.00019280883379836468
개선_0,0.0001921477268223813
major_지질학,0.0001909509387224041
상담_0,0.00019006834797482503
major_보건행정학,0.00018891357230189093
major_치의학과,0.00018876907858291893
major_사회학,0.0001883894915611791
bq2_6,0.00018698748912277216
bq28_2_7,0.00018590097328762348
빅데이터_0,0.00018500936347073092
활성화_1,0.00018300812678421417
건강_0,0.00018265279346497786
구조_0,0.00018224048698649485
영역_0,0.00018099621121113192
major_상,0.0001795811193363986
소프트웨어_1,0.00017718550621179338
major_정치학,0.00017636590587787564
직접_0,0.00017621794205806174
영상_1,0.000174474838897317
bef_job_간호사,0.0001735196998249843
major_환경공학과,0.00017078101903419973
드론_1,0.00016930168068572912
major_상고,0.00016875686492414383
매체_1,0.00016805965175184273
수준_0,0.00016506139353802987
관한_1,0.00016493119644315018
bef_job_연구원,0.0001638455731894727
major_행정학과,0.00016246954698265098
검사_1,0.00016128162956126886
major_임상병리학,0.00016091983921011645
major_치위생,0.0001603199312560235
출시_0,0.0001597756740585323
기본_0,0.00015967413921440807
가능_1,0.0001584359405847984
위한_1,0.0001570943339020742
예술_1,0.00015390129498675327
재교육_0,0.000153117447495812
조사_1,0.00015215741225990507
major_체육학과,0.00015211351878156407
major_체육학,0.00015163272373645606
major_예술치료학,0.00015018350770322456
판단_1,0.00014829056368036763
디지털_0,0.00014605939453717938
major_화학공학과,0.0001446399315916535
major_건축,0.0001430464307268834
major_영문학과,0.0001422834515606325
major_컴퓨터공학과,0.00014174512971926076
의료_0,0.00014140196453277075
major_경제학과,0.00014108772588922256
major_교육학,0.00014040475756456783
major_안경광학과,0.0001367651217522633
병원_1,0.00013656377891664765
major_초등교육,0.00013629260951219266
